Sample,OtolithID,Na,Mg,P,Ba,Sr,Mn,Zn,Ni,Cu,Rb,Cr,Li,Al,Sc,Ti,Y,Pb,Radius_to_pit,Longitude,Latitude,HaulID
Age-0_edge,c2608,3420.003401,34.95801771,374.0441468,1.480561099,1034.153768,4.889557507,0.988948235,0.149274825,-1.448529646,0.058726225,0.931528759,1.214832828,0.476751879,1,0.183336035,0,0.020098672,1144.33,-3.756,54.4,110
Age-0_edge,c2235,3640.393286,27.1901199,450.866498,4.975441207,1385.538075,0.780320856,1.405473548,0.218533028,-0.029248858,0.114203954,0.938431583,1.656396096,0.636518597,1.034021841,0.224422662,0.001570269,0.023329674,1192.06,-6.486,56.726,105
Age-0_edge,c1557,4093.682801,33.09384027,555.0792665,3.453575123,1781.943024,1.175547185,2.203346778,0.130389346,-0.710985832,0.115034115,1.255893142,1.563244542,1.324230988,1.009456051,0,0.003604347,0.060277558,1110.61,-7.233,58.283,92
Age-0_edge,c2598,3962.103228,41.28796408,479.7051601,1.065328711,975.5696619,8.171680466,0.563338856,0.164247459,-1.016248264,0.079025586,0.983571552,1.753678286,0,1.021640762,0.130168314,0.001999291,0.004186624,1402.97,-3.756,54.4,110
Age-0_edge,c1552,4056.565966,26.50551734,403.3155161,54.8349851,1402.011934,0.682172301,0.801267085,0.152648294,-1.908740267,0.113841583,0.905182784,1.530778673,0,1.022288038,0.097030249,0.005687813,0.012859243,1233.01,-7.233,58.283,92
Age-0_edge,c2807,3679.893194,33.40446798,388.8139655,0.921902326,900.2245179,3.295092074,2.285205475,0.270798778,0.494007051,0.114046967,0.911662832,1.415296534,1.927664148,1,0,0.0017699,0.059759943,1068.43,-5.408,53.581,112
Age-0_edge,c106,3708.385144,32.65880365,584.3742623,4.584358907,2621.944844,2.622860211,1.306820998,0.187926878,-1.184682449,0.033331693,0.777177215,1.407123286,0,1.016002443,0,0.004378968,0.026446194,1198.41,-5.282,55.091,66
Age-0_edge,c2971,3564.465723,29.99727115,389.181928,0.898995982,1163.089306,6.073323976,1.062134851,0.153279803,-2.001851172,0.038421094,0.719259446,1.41126673,0.225751185,1.019909947,0.136046017,0.000362036,0.010373121,1238.08,-4.815,55.463,115
Age-0_edge,c2627,3530.860643,35.11810411,521.4303012,1.695096023,1029.086639,6.24025937,2.277886877,0.256881758,0.948433729,0.087368012,2.182800959,1.312564393,48.38226092,1,0.089551351,0.002132139,0.052741775,1176.09,-3.756,54.4,110
Age-0_edge,c2241,3185.175734,18.72148605,301.8464308,1.913418863,1943.193039,1.144781977,1.07428105,0.175682275,-1.199109197,0.068507242,0.810673439,1.305611801,0.094664098,1.018939195,0,0.002369038,0,1033.39,-6.486,56.726,105
Age-0_edge,c1554,3718.588075,24.08846688,381.4573771,4.525991701,1196.112465,0.442679218,0.572825477,0.131101131,-1.75080194,0.198050277,0.730627162,4.477969767,0,1.024725133,0.011646537,0.003378917,0.006375181,1179.92,-7.233,58.283,92
Age-0_edge,c2972,3237.432165,17.19848347,576.8697227,7.164629572,1602.717237,1.466738374,0.520712748,0.095496831,-3.046480841,0.044426844,0.909219075,1.327331851,0.416218188,1.049037785,0,0.000322205,0.000850929,1037.18,-4.815,55.463,115
Age-0_edge,c1595,4167.20114,23.13931929,453.5636538,8.136278411,1856.142811,1.922979541,0.812587627,0.109555862,-2.125445019,0.139058193,0.835338893,1.502838376,0.152803393,1,0,0.003737695,0,1251.75,-7.233,58.283,92
Age-0_edge,c101,2870.355032,15.35874459,234.5348473,4.238794145,1892.389331,0.602065475,0.63190366,0.578001744,-0.011750337,0.054962633,0.786613259,1.078371417,0.184709229,1.09370398,0.029977219,0.026673295,0,1156.77,-5.282,55.091,66
Age-0_edge,c599,3623.868322,27.18537729,452.0095906,1.304530435,1582.231901,2.80685425,0.430092714,0.562018965,-0.280426745,0.044589595,0.561675532,1.313504395,0.04289607,1.07227963,0.034679015,0.012278048,0,1519.56,-6.834,57.73,79
Age-0_edge,c2195,3082.332721,18.72180931,246.0640572,2.414997456,1739.897897,1.085042886,1.157319957,0.488422092,-0.99808816,0.040859434,1.278287703,1.129657664,10.4200898,1.030510188,0.085845423,0.003949323,0.104220268,968.81,-6.486,56.726,105
